Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22n,C_0402_1005Metric,31.009999,9.779999,180.0,top
C10,100n,C_0402_1005Metric,34.209999,10.279999,0.0,top
C11,100n,C_0402_1005Metric,38.409999,7.279999,0.0,top
C12,100n,C_0402_1005Metric,40.309999,7.279999,0.0,top
C13,100n,C_0402_1005Metric,42.209999,6.779999,90.0,top
C14,10u,C_0603_1608Metric,48.209999,11.879999,90.0,top
C15,100n,C_0402_1005Metric,46.909999,11.979999,90.0,top
C16,18p,C_0402_1005Metric,50.909999,14.579999,-90.0,top
C17,100n,C_0402_1005Metric,9.6,23.6,180.0,top
C18,18p,C_0402_1005Metric,50.909999,12.579999,-90.0,top
C19,10u,C_0603_1608Metric,77.1,42.6,180.0,top
C2,6.8nF,C_0402_1005Metric,27.809999,13.379999,0.0,top
C20,100n,C_0402_1005Metric,29.8,59.3,0.0,top
C21,10u,C_0603_1608Metric,77.2,48.4,180.0,top
C22,100n,C_0402_1005Metric,73.9,46.9,0.0,top
C23,100n,C_0402_1005Metric,54.6,30.6,-90.0,top
C24,100n,C_0402_1005Metric,25.0,54.1,-90.0,top
C25,100n,C_0402_1005Metric,34.9,52.02,90.0,top
C26,100n,C_0402_1005Metric,9.4,65.5,-90.0,top
C27,100n,C_0402_1005Metric,71.575,34.825,-90.0,top
C28,100n,C_0402_1005Metric,4.0,61.7,0.0,top
C29,100n,C_0402_1005Metric,86.34,13.26,90.0,top
C3,6.8nF,C_0402_1005Metric,27.809999,12.379999,0.0,top
C30,100n,C_0402_1005Metric,77.46,13.28,90.0,top
C31,100n,C_0402_1005Metric,82.0,13.28,90.0,top
C32,100n,C_0402_1005Metric,86.34,11.28,90.0,top
C33,100n,C_0402_1005Metric,77.46,11.28,90.0,top
C34,100n,C_0402_1005Metric,82.0,11.3,90.0,top
C35,10u,C_0603_1608Metric,58.6,10.6,180.0,top
C36,10u,C_0603_1608Metric,57.0,4.7375,0.0,top
C37,100n,C_0402_1005Metric,54.2,4.4,0.0,top
C38,100n,C_0402_1005Metric,63.6,13.5,180.0,top
C39,100n,C_0402_1005Metric,44.185,56.1,0.0,top
C4,10n,C_0402_1005Metric,27.2,9.8,0.0,top
C40,100n,C_0402_1005Metric,54.785,56.1,0.0,top
C41,100n,C_0402_1005Metric,75.92,56.1,0.0,top
C42,100n,C_0402_1005Metric,65.34,56.1,0.0,top
C43,100n,C_0402_1005Metric,44.24,64.7,180.0,top
C44,100n,C_0402_1005Metric,54.74,64.7,180.0,top
C45,100n,C_0402_1005Metric,75.74,64.7,180.0,top
C46,100n,C_0402_1005Metric,65.14,64.7,180.0,top
C47,100n,C_0402_1005Metric,50.74,70.7,180.0,top
C48,100n,C_0402_1005Metric,63.04,68.185,90.0,top
C49,100n,C_0402_1005Metric,58.74,68.185,90.0,top
C5,4.7u,C_0603_1608Metric,40.109999,5.279999,180.0,top
C50,100n,C_0402_1005Metric,54.54,68.22,90.0,top
C51,100n,C_0402_1005Metric,63.04,70.185,-90.0,top
C52,100n,C_0402_1005Metric,58.74,70.185,-90.0,top
C53,100n,C_0402_1005Metric,54.54,70.2,-90.0,top
C54,10u,C_0603_1608Metric,70.615,69.8,90.0,top
C55,100n,C_0402_1005Metric,78.44,68.1,90.0,top
C56,10u,C_0603_1608Metric,73.015,72.2,0.0,top
C57,100n,C_0402_1005Metric,83.04,71.9,90.0,top
C58,100n,C_0402_1005Metric,89.34,70.8,-90.0,top
C59,100n,C_0402_1005Metric,27.8,68.3,-90.0,top
C6,10n,C_0402_1005Metric,44.509999,7.279999,0.0,top
C60,1u,C_0402_1005Metric,33.9,71.4,90.0,top
C61,100n,C_0402_1005Metric,9.4,79.42,-90.0,top
C62,100n,C_0402_1005Metric,17.28,76.7,0.0,top
C63,10u,C_0603_1608Metric,21.5,71.7,-90.0,top
C64,100n,C_0402_1005Metric,13.4,75.7,-90.0,top
C65,10u,C_0603_1608Metric,27.5,71.7,90.0,top
C66,10u,C_0603_1608Metric,18.4,71.1,90.0,top
C67,10u,C_0603_1608Metric,21.8,64.5,90.0,top
C68,1u,C_0402_1005Metric,3.0,55.8,-90.0,top
C69,10u,C_0603_1608Metric,17.0,68.8,180.0,top
C7,10u,C_0603_1608Metric,44.7,5.1,180.0,top
C70,10n,C_0402_1005Metric,8.2,54.8,90.0,top
C71,10u,C_0603_1608Metric,9.5,55.4,90.0,top
C72,1u,C_0402_1005Metric,9.7,69.9,90.0,top
C73,100n,C_0402_1005Metric,8.7,69.9,90.0,top
C74,10u,C_0603_1608Metric,25.0,67.0,180.0,top
C75,10u,C_0603_1608Metric,35.8,70.4,90.0,top
C76,1u,C_0402_1005Metric,92.34,65.3,90.0,top
C77,10u,C_0603_1608Metric,46.9,72.6,-90.0,top
C78,10n,C_0402_1005Metric,90.14,68.1,0.0,top
C79,10u,C_0603_1608Metric,50.54,79.7,180.0,top
C8,100n,C_0402_1005Metric,34.709999,14.479999,-90.0,top
C80,10u,C_0603_1608Metric,39.1,72.4,180.0,top
C81,10u,C_0603_1608Metric,86.54,65.6,-90.0,top
C82,10u,C_0603_1608Metric,39.1,74.0,180.0,top
C83,6.8pF,C_0402_1005Metric,53.7,79.2,-90.0,top
C84,10u,C_0603_1608Metric,44.24,74.2,180.0,top
C9,100n,C_0402_1005Metric,34.709999,11.779999,90.0,top
D1,USB,LED_1206_3216Metric,49.5,51.6,0.0,top
D10,SER,LED_1206_3216Metric,91.3,43.3,180.0,top
D2,ETH,LED_1206_3216Metric,49.6,22.1,0.0,top
D3,PWR,LED_1206_3216Metric,91.3,9.4,180.0,top
D4,ERR,LED_1206_3216Metric,91.3,15.2,180.0,top
D5,ACT,LED_1206_3216Metric,91.3,21.0,180.0,top
D6,SER,LED_1206_3216Metric,91.3,26.8,180.0,top
D7,PWR,LED_1206_3216Metric,91.3,60.7,180.0,top
D8,ERR,LED_1206_3216Metric,91.3,54.9,180.0,top
D9,ACT,LED_1206_3216Metric,91.3,49.1,180.0,top
FB1,33Ohm/100MHz,L_0603_1608Metric,18.4,21.5,0.0,top
FB2,120Ohm/100MHz,L_0603_1608Metric,44.7,3.4,180.0,top
FB3,120Ohm/100MHz,L_0603_1608Metric,1.6,56.9,90.0,top
FB4,120Ohm/100MHz,L_0603_1608Metric,91.44,63.3,180.0,top
J2,MCU SWD,PinHeader_2x05_P1.27mm_Vertical_SMD,60.8,34.4,90.0,top
L1,2.2uH,L_Taiyo-Yuden_NR-30xx,19.2,64.2,-90.0,top
L2,2.2uH,L_Taiyo-Yuden_NR-30xx,50.14,77.0,90.0,top
Q1,BSS138,SOT-23,67.2625,41.45,180.0,top
Q2,BSS138,SOT-23,72.3,11.98,-90.0,top
Q3,BSS138,SOT-23,67.94,68.7,90.0,top
R1,330,R_0402_1005Metric,35.009999,6.379999,0.0,top
R10,33 1%,R_0603_1608Metric,30.909999,16.779999,180.0,top
R11,33 1%,R_0603_1608Metric,30.909999,13.579999,180.0,top
R12,33 1%,R_0603_1608Metric,30.909999,11.979999,180.0,top
R13,100k,R_0402_1005Metric,44.209999,19.679999,0.0,top
R14,1M,R_0402_1005Metric,47.809999,14.479999,90.0,top
R15,0,R_0402_1005Metric,49.409999,14.979999,180.0,top
R16,100k,R_0402_1005Metric,79.725,44.5,-90.0,top
R17,10k,R_0402_1005Metric,9.8,61.4,180.0,top
R18,100k,R_0402_1005Metric,79.725,46.4,-90.0,top
R19,10k,R_0402_1005Metric,9.8,60.3,180.0,top
R2,330,R_0402_1005Metric,35.009999,5.279999,180.0,top
R20,10k,R_0402_1005Metric,55.7,30.6,90.0,top
R21,1k,R_0402_1005Metric,54.6,28.6,-90.0,top
R22,1k,R_0402_1005Metric,51.4,53.5,180.0,top
R23,100k,R_0402_1005Metric,86.0,35.8,90.0,top
R24,1k,R_0402_1005Metric,51.6,20.2,180.0,top
R25,10k,R_0402_1005Metric,72.8,38.4,0.0,top
R26,10k,R_0402_1005Metric,74.41,40.9,180.0,top
R27,100k,R_0402_1005Metric,74.775,38.525,-90.0,top
R28,100k,R_0402_1005Metric,25.1,57.3,90.0,top
R29,1k,R_0402_1005Metric,69.7625,40.14,90.0,top
R3,10 1%,R_0603_1608Metric,31.309999,8.379999,180.0,top
R30,100k,R_0402_1005Metric,69.7625,42.14,90.0,top
R31,100k,R_0402_1005Metric,10.1,72.5,180.0,top
R32,1k,R_0402_1005Metric,89.9,11.2,0.0,top
R33,1k,R_0402_1005Metric,89.9,13.4,0.0,top
R34,1k,R_0402_1005Metric,89.9,19.2,0.0,top
R35,1k,R_0402_1005Metric,89.9,25.0,0.0,top
R36,1k,R_0402_1005Metric,73.9,15.48,180.0,top
R37,100k,R_0402_1005Metric,72.7,14.48,180.0,top
R38,100k,R_0402_1005Metric,54.5375,8.65,90.0,top
R39,10k,R_0402_1005Metric,72.8,9.4,180.0,top
R4,49.9 1%,R_0603_1608Metric,30.909999,15.179999,180.0,top
R40,100k,R_0402_1005Metric,54.5375,6.65,90.0,top
R41,0.62 1%,R_0603_1608Metric,57.8,2.0,-90.0,top
R42,100k,R_0402_1005Metric,63.5,9.15,0.0,top
R43,100k,R_0402_1005Metric,65.5,9.15,0.0,top
R44,100,R_0402_1005Metric,70.8,9.4,180.0,top
R45,100,R_0402_1005Metric,86.0,9.48,0.0,top
R46,100,R_0402_1005Metric,79.3,9.38,180.0,top
R47,100,R_0402_1005Metric,76.46,9.38,0.0,top
R48,100,R_0402_1005Metric,82.8,9.18,180.0,top
R49,4.7k,R_0402_1005Metric,52.74,65.51,0.0,top
R5,49.9 1%,R_0603_1608Metric,27.509999,11.079999,180.0,top
R50,100k,R_0402_1005Metric,72.515,67.3,180.0,top
R51,100k,R_0402_1005Metric,74.515,67.3,180.0,top
R52,100,R_0402_1005Metric,68.44,72.2,0.0,top
R53,100,R_0402_1005Metric,63.74,72.185,180.0,top
R54,100,R_0402_1005Metric,56.64,72.1,0.0,top
R55,100,R_0402_1005Metric,60.74,72.1,0.0,top
R56,100,R_0402_1005Metric,65.74,72.185,0.0,top
R57,100k,R_0402_1005Metric,77.84,65.3,0.0,top
R58,0.62 1%,R_0603_1608Metric,76.24,72.2,180.0,top
R59,100k,R_0402_1005Metric,85.44,72.6,180.0,top
R6,49.9 1%,R_0603_1608Metric,30.909999,19.979999,180.0,top
R60,100k,R_0402_1005Metric,84.94,70.9,-90.0,top
R61,1k,R_0402_1005Metric,67.54,65.1,180.0,top
R62,100k,R_0402_1005Metric,67.54,66.2,0.0,top
R63,1k,R_0402_1005Metric,88.4,62.0,-90.0,top
R64,10k,R_0402_1005Metric,68.44,71.2,180.0,top
R65,1k,R_0402_1005Metric,89.4,53.1,0.0,top
R66,1k,R_0402_1005Metric,89.4,50.9,0.0,top
R67,1k,R_0402_1005Metric,89.4,45.1,0.0,top
R68,100k,R_0402_1005Metric,29.9,65.5,0.0,top
R69,100k,R_0402_1005Metric,15.8,76.2,90.0,top
R7,49.9 1%,R_0603_1608Metric,27.509999,14.679999,180.0,top
R70,4.7k,R_0402_1005Metric,33.5,68.7,0.0,top
R71,100k,R_0402_1005Metric,29.5,72.2,-90.0,top
R72,100k,R_0402_1005Metric,11.9,77.6,180.0,top
R73,100k,R_0402_1005Metric,9.91,77.6,180.0,top
R74,20k,R_0402_1005Metric,33.5,66.8,0.0,top
R75,100k,R_0402_1005Metric,25.1,69.2,180.0,top
R76,100k,R_0402_1005Metric,16.6,73.4,180.0,top
R77,100k,R_0402_1005Metric,14.6,73.4,180.0,top
R78,100k,R_0402_1005Metric,22.95,73.8,180.0,top
R79,1k,R_0402_1005Metric,5.8,67.9,0.0,top
R8,12.4k 1%,R_0402_1005Metric,35.709999,8.179999,-90.0,top
R80,1k,R_0402_1005Metric,2.9,69.0,180.0,top
R81,1k,R_0402_1005Metric,2.9,67.9,180.0,top
R82,1k,R_0402_1005Metric,5.8,69.0,180.0,top
R83,100k,R_0402_1005Metric,14.3,70.2,90.0,top
R84,680k,R_0402_1005Metric,26.6,63.7,90.0,top
R85,75k,R_0402_1005Metric,27.0,65.2,0.0,top
R86,100k,R_0402_1005Metric,35.5,68.0,180.0,top
R87,100k,R_0402_1005Metric,40.1,67.5,180.0,top
R88,200k,R_0402_1005Metric,38.1,67.5,180.0,top
R89,453k,R_0402_1005Metric,52.7,79.2,-90.0,top
R9,33 1%,R_0603_1608Metric,30.909999,18.379999,180.0,top
R90,100k,R_0402_1005Metric,52.7,77.2,-90.0,top
RN1,27,R_Array_Concave_4x0402,47.0,17.779999,-90.0,top
SW1,RST,SW_SPST_B3S-1000,60.4,25.8,180.0,top
U1,W5500,LQFP-48_7x7mm_P0.5mm,40.809999,12.979999,0.0,top
U10,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,75.5,12.28,-90.0,top
U11,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,80.2,12.28,-90.0,top
U12,TPS2553DBVR,SOT-23-6,56.8,7.7,-90.0,top
U13,INA180A2,SOT-23-5,54.6,2.1,0.0,top
U14,TLV9001IDCK,SOT-353_SC-70-5,64.75,11.3,90.0,top
U15,Si8641BB-B-IS1,SOIC-16_3.9x9.9mm_P1.27mm,47.94,60.4,90.0,top
U16,Si8641BB-B-IS1,SOIC-16_3.9x9.9mm_P1.27mm,58.54,60.4,90.0,top
U17,Si8641BB-B-IS1,SOIC-16_3.9x9.9mm_P1.27mm,79.74,60.4,90.0,top
U18,Si8641BB-B-IS1,SOIC-16_3.9x9.9mm_P1.27mm,69.14,60.4,90.0,top
U19,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,64.84,69.185,90.0,top
U2,24AA025E-OT,SOT-23-6,30.3,56.7,90.0,top
U20,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,60.54,69.185,90.0,top
U21,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,56.34,69.2,90.0,top
U22,74LVC1G3157,SOT-23-6,51.24,68.1,90.0,top
U23,ADS1118IDGS,TSSOP-10_3x3mm_P0.5mm,81.94,67.6,180.0,top
U24,TPS2553DBVR,SOT-23-6,73.5775,69.6,0.0,top
U25,INA180A2,SOT-23-5,80.44,71.4,0.0,top
U26,TLV9001IDCK,SOT-353_SC-70-5,87.14,70.6,0.0,top
U27,74LVC1G3157,SOT-23-6,30.4,67.8,180.0,top
U28,LM66100DCK,SOT-363_SC-70-6,31.7,71.7,180.0,top
U29,SN74LVC1G125DBV,SOT-23-5,12.0,79.9,180.0,top
U3,TPS2553DBVR,SOT-23-6,77.425,45.5,90.0,top
U30,74LVC1G07,SOT-23-5,16.9,79.3,-90.0,top
U31,MCP73832-2-OT,SOT-23-5,24.4,71.5,180.0,top
U32,TLV9001IDCK,SOT-353_SC-70-5,11.2,75.6,0.0,top
U33,TPS2116DRL,SOT-583-8,16.2,71.5,180.0,top
U34,LP2985-3.3,SOT-23-5,5.6,55.3,0.0,top
U35,TLV61070ADBV,SOT-23-6,24.3,64.1,90.0,top
U36,PIC12F629-xSN,SOIC-8_3.9x4.9mm_P1.27mm,4.46,72.34,180.0,top
U37,TPS2553DBVR,SOT-23-6,38.7,69.9,0.0,top
U38,TLV62568DRL,SOT-563,49.6,73.6,0.0,top
U39,LP2985-3.3,SOT-23-5,89.64,65.8,180.0,top
U6,TCA9535PWR,TSSOP-24_4.4x7.8mm_P0.65mm,20.3,56.1125,-90.0,top
U7,TCA9535PWR,TSSOP-24_4.4x7.8mm_P0.65mm,76.3,33.6875,90.0,top
U8,PCF85263ATL,DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm,6.2175,63.9675,0.0,top
U9,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,84.5,12.28,-90.0,top
Y1,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,53.309999,13.079999,-90.0,top
Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1.9,64.7,90.0,top
